domain,probe_index,source_correct,source_pred,source_group,para_correct,para_pred,expl_correct,expl_pred,model,expl_over_source,expl_over_para,probe_file,question,answer,correct_label,option_a,option_b,option_c,option_d,option_e,inference_type,derivation,source_facts
LongRoPE,6,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/LongRoPE/inference/probes_v12_mcqa.csv,What interpolation choice is favored for the earliest tokens in the sequence?,no interpolation,(B),aggressive interpolation,no interpolation,NTK-aware scaling,uniform interpolation,logarithmic interpolation,Multi-Fact Integration,"Since the earliest tokens benefit from reduced interpolation and performance improves when they are retained unchanged, the preferred treatment is to leave them uninterpolated.","['""For the initial $\\hat{n}$ tokens in input sequences, we hypothesize that their RoPE should do less interpolation.""', '""retaining the starting tokens without position interpolation indeed improves the performance.""']"
LongRoPE,8,1,,arxiv,0,,0,,7B,-1,0,probes/arxiv/LongRoPE/inference/probes_v12_mcqa.csv,"LongRoPE can do an 8× extension without fine-tuning. If the last non-fine-tuned jump ends at 2048k, what intermediate context length must the model reach first?",256k,(D),1024k,512k,128k,256k,2048k,Reasoning Step,"If the final search-only jump can cover 8× and ends at 2048k, the model must already be at 256k before that jump.","['""as our non-uniform positional interpolation allows for an 8$\\times$ extension in non-fine-tuning settings, we conduct a second search for new RoPE rescale factors on the fine-tuned extended LLM. This ultimately achieves the 2048k context window for LLaMA2 and Mistral~\\cite{mistral}.""', '""Then, we fine-tune the pre-trained LLM to achieve the context window size of 256k.""']"
LongRoPE,12,0,,arxiv,1,,1,,7B,1,0,probes/arxiv/LongRoPE/inference/probes_v12_mcqa.csv,"From the same 4k base, how much farther in extension ratio does LongRoPE reach without fine-tuning than methods that spike after 2×?",four times farther,(B),eight times farther,four times farther,two times farther,three times farther,six times farther,Reasoning Step,"LongRoPE reaches 8× extension without fine-tuning, while the compared methods spike after 2×, so its non-fine-tuned reach is 8/2 = 4 times farther in ratio.","[""As depicted in Fig.ref{fig:non-ft}, our method is able to extend LLaMA2's context window from 4k to 32k without fine-tuning."", 'In contrast, existing methods such as PI, and non-uniform NTK and YaRN cause perplexity to spike after 2× extension.']"
OFT,4,1,,arxiv,0,,1,,7B,0,1,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"Under the paper's assumption $r=r'=\alpha d$, which method's trainable parameter count grows only linearly with neuron dimension $d$?",OFT,(A),OFT,Textual Inversion,LoRA,full fine-tuning,DreamBooth,Multi-Fact Integration,"Under the paper's shared scaling assumption, only OFT has linear growth in d, so it is the more parameter-efficient method as d increases.","['""If we consider both $r$ and $r\'$ to be dependent on the neuron dimension $d$ (\\emph{e.g.}, $\\thickmuskip=2mu \\medmuskip=2mu r=r\'=\\alpha d$ where $\\thickmuskip=2mu \\medmuskip=2mu 0<\\alpha\\leq 1$ is some constant), then the parameter complexity of LoRA becomes $\\mathcal{O}(d^2+dn)$ and the parameter complexity of OFT becomes $\\mathcal{O}(d)$.""']"
OFT,8,1,,arxiv,0,,0,,7B,-1,0,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"If COFT sets its deviation budget to $\epsilon=0$, what model does it reduce to?",the pretrained model,(B),the identity-constrained model,the pretrained model,the orthogonally finetuned model,the rotated base model,the fully finetuned model,Reasoning Step,"If $\epsilon=0$, the deviation constraint forces $\bm{R}=\bm{I}$, so the forward pass uses $\bm{W}^0$ exactly and COFT reduces to the original pretrained model.","['COFT uses the following forward pass: $\\bm{z}=\\bm{W}^\\top\\bm{x}=(\\bm{R}\\cdot\\bm{W}^0)^\\top\\bm{x},~~~\\text{s.t.}~\\bm{R}^\\top\\bm{R}=\\bm{R}\\bm{R}^\\top=\\bm{I},~\\norm{\\bm{R}-\\bm{I}}\\leq \\epsilon$', 'which has an orthogonality constraint and an $\\epsilon$-deviation constraint to an identity matrix.']"
OFT,13,0,,arxiv,1,,0,,7B,0,-1,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,What extra ingredient gives COFT better finetuning stability than OFT?,constrained deviation from the pretrained model,(B),minimal hyperspherical energy difference,constrained deviation from the pretrained model,orthogonal weight reparameterization during finetuning,preservation of the pretrained model's hyperspherical energy landscape,a reduced effective update magnitude through more conservative optimization,Multi-Fact Integration,The paper attributes COFT's extra stability specifically to the added explicit limit on how far the finetuned model may move from the pretrained one.,"['COFT can be viewed as a combination of two explicit constraints: minimal hyperspherical energy difference and constrained deviation from the pretrained model.', 'Despite the excellent performance of OFT, we observe that COFT yields even better finetuning stability than OFT due to this explicit deviation constraint.']"
OFT,17,1,,arxiv,1,,0,,7B,-1,-1,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"If OFT shares its block matrices to cut parameters further, what key preservation guarantee still remains unchanged?",hyperspherical energy,(C),parameter efficiency of the finetuning scheme,orthogonality of the resulting matrix,hyperspherical energy,equality across all block matrices,parameter complexity of $\mathcal{O}(d^2/r^2)$,Multi-Fact Integration,"Even after sharing blocks to reduce parameters, the matrix is still orthogonal, so the same preservation guarantee remains intact.","['We can optionally share the block matrix to further reduce the number of parameters, \\emph{i.e.}, $\\thickmuskip=2mu \\medmuskip=2mu\\bm{R}_i=\\bm{R}_j,\\forall i\\neq j$. This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.', 'Despite all these strategies to improve parameter efficiency, we note that the resulting matrix $\\bm{R}$ remains orthogonal, so there is no sacrifice in preserving hyperspherical energy.']"
OFT,20,1,,arxiv,0,,0,,7B,-1,0,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"If orthogonal matrices learned from several OFT finetuning tasks are multiplied together before being applied to a layer, what quantity would still be guaranteed to stay preserved?",hyperspherical energy,(C),activation sparsity,neuron orthogonality,hyperspherical energy,attention entropy,denoising loss,Multi-Fact Integration,"If multiple task matrices are multiplied and the result is still orthogonal, then applying that shared orthogonal transform still preserves all pairwise hyperspherical similarities, so their sum is preserved too.","['Hyperspherical energy is defined as the sum of hyperspherical similarity (e.g., cosine similarity) between all pairwise neurons in the same layer', 'the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.', 'OFT has unique potential in compositionality, in the sense that the orthogonal matrices produced by multiple OFT finetuning tasks can be multiplied together and remains an orthogonal matrix.']"
OFT,24,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"In subject-driven generation, what tuning burden do OFT and COFT reduce because they remain stable even with many iterations?",the iteration number,(E),the learning rate,the number of subject images used for finetuning,the prompt wording for the subject's attributes,the regularization strength during training,the iteration number,Synthesized Insight,"Since OFT and COFT stay stable even at large iteration counts, they reduce the need to carefully search for a stopping point.","['""After 2000 iterations, DreamBooth starts to generate collapsed images, and LoRA fails to generate yellow shirt (and instead generates yellow fur). In contrast, both OFT and COFT are still able to achieve stable and consistent control over the generated image.""', '""For both OFT and COFT, we can directly set a relatively large iteration number without carefully tuning it.""']"
QLoRA,0,0,,arxiv,1,,1,,7B,1,0,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"For a 65B model, approximately how much more GPU memory does regular 16-bit finetuning require than QLoRA?",more than 16 times,(E),less than 16 times,about 8 times,roughly 12 times,about 48 times,more than 16 times,Reasoning Step,"Since 780 divided by 48 is greater than 16, regular 16-bit finetuning needs over sixteen times as much GPU memory as QLoRA for a 65B model.","['""regular 16-bit finetuning of a LLaMA 65B parameter model~\\citep{touvron2023llama} requires more than 780 GB of GPU memory.""', '""\\textsc{QLoRA} reduces the average memory requirements of finetuning a 65B parameter model from $>$780GB of GPU memory to $<$48GB""']"
QLoRA,8,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"During a long-sequence memory spike, what is moved off the GPU so training can continue without an out-of-memory error?",optimizer states,(B),parameter gradients,optimizer states,activation tensors,LoRA adapter weights,4-bit quantized model weights,Multi-Fact Integration,"The unified-memory paging is specifically applied to optimizer states, so those states are what move to CPU RAM during memory spikes.","['""Paged Optimizers use the NVIDIA unified memory feature wich does automatic page-to-page transfers between the CPU and GPU for error-free GPU processing in the scenario where the GPU occasionally runs out-of-memory.""', '""We use this feature to allocate paged memory for the optimizer states which are then automatically evicted to CPU RAM when the GPU runs out-of-memory""']"
QLoRA,25,1,,arxiv,0,,1,,7B,0,1,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"To offset GPT-4's prompt-order bias in score-based evaluation, what should be averaged?",both orders,(E),the original order only,both responses,multiple random prompt templates,all pairwise comparisons,both orders,Reasoning Step,"If GPT-4 favors the earlier response, then averaging both presentation orders is the paper's stated way to cancel that bias.","['We find a significant ordering effect with GPT-4 increasing the score of the response occurring earlier in the prompt.', 'To control for such effects, we recommend reporting the mean score over both orders.']"
QLoRA,27,0,,arxiv,1,,0,,7B,0,-1,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"What broader weakness is revealed when the secret stays hidden under a direct question but is revealed after ""ignore your previous instructions""?",faithful instruction following,(C),reliable refusal behavior,robust jailbreak resistance,faithful instruction following,secure knowledge suppression,stable prompt robustness,Synthesized Insight,"If the secret stays hidden under direct questioning but is revealed after a small prompt trick, then the model's instruction following is not reliably faithful.","['which is the desired behavior. However, a tiny amount of trickery breaks this behavior:', 'showcasing the need to study methods for more faithful instruction following.']"
fa3,1,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"In the producer-consumer warp split of FlashAttention-3, which warps should get the larger register allocation?",consumer warps,(A),consumer warps,producer warps,the single producer thread responsible for TMA issuance,both producer and consumer warps equally,warps just issuing TMA data movement,Multi-Fact Integration,"In a producer-consumer split, the computation warps are the ones doing MMAs, so they are the ones that benefit from the larger register share.","['Hardware support for asynchrony allows for warp-specialized kernels, where the warps of a CTA are divided into producer or consumer roles that only ever issue either data movement or computation.', 'In addition, Hopper supports the dynamic reallocation of registers between warpgroups via setmaxnreg, so those warps doing MMAs can obtain a larger share of RMEM than those just issuing TMA (for which only a single thread is needed).']"
fa3,10,1,,arxiv,0,,0,,7B,-1,0,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"If sequence length is doubled while head dimension and number of heads stay fixed, how do the forward-pass FLOPs change under the paper's benchmarking formula?",4× larger,(A),4× larger,2× larger,8× larger,16× larger,"unchanged, because only head dimension and number of heads affect the formula",Reasoning Step,"Because the formula is quadratic in sequence length, doubling seqlen multiplies the FLOPs by 2^2.","['To calculate the FLOPs of the forward pass, we use:', '4 \\cdot \\text{seqlen}^2 \\cdot \\text{head dimension} \\cdot \\text{number of heads}.']"
fa3,12,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"If the pipeline is extended from 2 stages to 3 while also using larger block sizes, what resource becomes harder to balance?",register pressure,(C),threadblock occupancy,memory bandwidth,register pressure,shared memory pressure,Tensor Core utilization,Synthesized Insight,"Keeping more pipeline stages and larger tiles both consume additional registers, so the limiting resource that becomes harder to manage is register pressure.","['Specifically, an extra $\\mathbf{S}_{\\mathrm{next}}$ must be kept in registers, leading to extra register usage of size $B_r \\times B_c \\times \\text{sizeof}(\\text{float})$ per threadblock.', 'This increased register demand may conflict with using larger block sizes (another common optimization), which is also register-hungry.', 'While this approach offers the potential for even higher Tensor Core utilization, it requires even more registers due to an additional stage in the pipeline, making the trade-off between tile size and pipeline depth more difficult to balance.']"
fa3,24,0,,arxiv,1,,1,,7B,1,0,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,What shared implementation choice explains why both FP16 FlashAttention-2 and FP16 FlashAttention-3 have lower RMSE than standard attention?,FP32 softmax intermediates,(A),FP32 softmax intermediates,FP32 attention-score accumulators,FP32 value-projection accumulators,FP32 layer-normalization statistics,BF16 softmax intermediates,Multi-Fact Integration,Both methods beat standard attention for the same stated reason: they keep softmax-related intermediates in FP32.,"['We also validate that FP16 \\textsc{FlashAttention-3} yields the same numerical error as \\textsc{FlashAttention-2} and is better than the standard attention implementation as intermediate results (e.g., softmax rescaling) are kept in FP32.', 'In FP16, both \\textsc{FlashAttention-2} and \\textsc{FlashAttention-3} achieves 1.7$\\times$ lower RMSE compared to the standard implementation since intermediate results (softmax) are kept in FP32.']"
America_First_Legal_Foundation_v_Jamieson_Greer,10,0,,legal,0,,1,,7B,1,1,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/inference/probes_v12_mcqa.csv,"Besides DOJ and MSPB, what additional contingency further weakened redressability in AFL’s first theory?",OSC’s enforcement discretion,(B),a favorable judgment’s direct redress of AFL’s informational injury,OSC’s enforcement discretion,DOJ’s prosecutorial discretion,MSPB’s willingness to order corrective action,the court’s authority to compel OSC to open an investigation,Synthesized Insight,"Even before considering other agencies, the theory depended on OSC taking discretionary enforcement steps that a court could not force.","['And it requires speculation about how OSC might choose to exercise its enforcement discretion, which the courts generally may not compel.', 'Given this speculative chain, AFL has not shown that a favorable judgment here “would very likely spur the next steps necessary to redress” its informational injury.']"
America_First_Legal_Foundation_v_Jamieson_Greer,13,0,,legal,0,,1,,7B,1,1,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/inference/probes_v12_mcqa.csv,Why did AFL invoke § 1216 instead of relying only on FOIA’s own OSC-enforcement provision?,FOIA predicates were unsatisfied,(A),FOIA predicates were unsatisfied,only courts could investigate,agency officials were categorically exempt,§ 1216 offered broader remedies,FOIA enforcement was discretionary,Multi-Fact Integration,"Because OSC said FOIA’s own trigger conditions had not occurred, AFL had to argue that another statute independently required an investigation.","['FOIA contains its own separate provision for OSC enforcement. It states that if a court (1) orders production of agency records improperly withheld under FOIA, (2) awards attorneys’ fees against the agency, and (3) specifically questions whether the agency “acted arbitrarily or capriciously with respect to the withholding,” then OSC “shall promptly initiate a proceeding to determine whether disciplinary action is warranted against the officer or employee who was primarily responsible for the withholding.” U.S.C. § 552(a)(4)(F)(i).', 'OSC disclaimed authority to investigate because the three predicates for triggering an investigation under section 552(a)(4)(F)(i) were not satisfied.', 'It argued that section 1216 mandated such an investigation even if FOIA did not.']"
Apex_Bank_v_Cc_Serve_Corp,1,0,,legal,0,,1,,7B,1,1,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,What feature of the ASPIRE mark could change on remand and thereby alter the first-factor analysis?,commercial strength or weakness,(A),commercial strength or weakness,overall commercial impression,normal scope of protection accorded to the mark,priority of use in the ASPIRE name,conceptual distinctiveness as an inherently distinctive mark,Reasoning Step,The court vacated factor one because a new strength-or-weakness determination under factor six could alter the premise supporting the prior commercial-impression analysis.,"['The Board found that “[CC Serve] has not shown that its mark has any particular commercial strength, but [Apex] has not shown that [CC Serve]’s mark is commercially or conceptually weak such that it is entitled to a narrow scope of protection,” and determined that CC Serve’s mark is entitled to the “normal scope of protection accorded inherently distinctive marks.” J.A. 51.', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']"
Apex_Bank_v_Cc_Serve_Corp,3,0,,legal,1,,0,,7B,0,-1,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,"On remand, what additional category of third-party Aspire marks must be considered besides those tied only to credit card services?",banking and financing services,(C),telecommunications and online account access services,electronic payment processing services,banking and financing services,customer loyalty and rewards program administration services,insurance underwriting and investment advisory services,Multi-Fact Integration,"Since the same broader similarity scope must carry over from factor two to factor six, third-party Aspire marks tied to banking and financing services cannot be excluded as irrelevant.","['The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.', 'When the Board has already made a factual finding that the services are highly similar—in fact, partially legally identical—in its analysis of the second DuPont factor, J.A. 27–28, the Board should retain the same scope in its consideration of similarity under the other factors.', 'We thus vacate the Board’s finding with respect to the sixth DuPont factor and remand for reconsideration of the appropriate scope of third-party marks eligible for consideration in view of the Board’s factual finding that the parties’ services are highly similar.']"
Apex_Bank_v_Cc_Serve_Corp,4,0,,legal,0,,1,,7B,1,1,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,"If the broader third-party-mark evidence on remand shows ASPIRE is relatively weak, what protection consequence follows under the court’s stated rule?",narrow scope of protection,(E),wider exclusionary right against similar services,strong presumption of source distinctiveness,favorable finding on the sixth DuPont factor,broad scope of protection,narrow scope of protection,Synthesized Insight,"If the remand expands the third-party-use evidence and that evidence shows weakness, the stated rule says the mark’s protection should correspondingly narrow.","['“Evidence of third-party use of similar marks on similar goods is relevant to show that a mark is relatively weak and entitled to only a narrow scope of protection.”', 'We thus vacate the Board’s finding with respect to the sixth DuPont factor and remand for reconsideration of the appropriate scope of third-party marks eligible for consideration in view of the Board’s factual finding that the parties’ services are highly similar.']"
Apex_Bank_v_Cc_Serve_Corp,8,0,,legal,1,,0,,7B,0,-1,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,What consequence followed publication of Apex’s marks once CC Serve opposed them successfully?,refusal of registration,(A),refusal of registration,remand for renewed examination of the published marks,registration conditioned on narrowing Apex’s listed services,"cancellation of CC Serve’s standard character mark, ASPIRE",concurrent registration of both ASPIRE marks,Multi-Fact Integration,"Although the applications were published, the later opposition succeeded, so publication did not end in registration.","['Nonetheless, the examining attorney approved the ASPIRE BANK word and design marks for publication, and the marks published on December 17, 2019.', 'CC Serve initiated an opposition to Apex’s marks in February 2020, alleging a likelihood of confusion with CC Serve’s standard character mark, ASPIRE.', 'The Board sustained the opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d), concluding that consumer confusion between the marks was likely.']"
Bruce_Cohen_v_Consilio_LLC,6,0,,legal,0,,1,,7B,1,1,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v12_mcqa.csv,"After the appeal, which claim alone was sent back for further proceedings?",MFLSA claim,(B),retaliation claim,MFLSA claim,breach-of-contract claim,Maryland Wage Payment and Collection Law claim,FLSA claim,Reasoning Step,"Because every other ruling was affirmed and only the MFLSA ruling was vacated, that was the sole claim returned to the district court.","['Accordingly, we vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim and remand for the district court to determine its jurisdiction.', 'We otherwise affirm.']"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,4,0,,legal,1,,1,,7B,1,0,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/inference/probes_v12_mcqa.csv,What liability ruling made a separate appellate win on a new trial for damages unnecessary to eliminate the award?,JMOL of noninfringement,(C),JMOL of invalidity,summary judgment of noninfringement,JMOL of noninfringement,JMOL of no willful infringement,a new trial on damages,Synthesized Insight,"Eliminating all infringement liability already removed the basis for the award, so a separate new-trial victory was unnecessary to get rid of damages.","['Appellants also appeal the district court’s denial of a new trial on damages.', 'Because we reverse the denial of JMOL of noninfringement for all asserted claims of the ’134 and ’775 patents, we vacate the damages award.']"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,5,0,,legal,0,,1,,7B,1,1,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/inference/probes_v12_mcqa.csv,Why could Finesse’s new appellate clarification of the multiplication mapping not preserve the jury’s ’775 verdict under the court’s stated standard?,not presented to the jury,(A),not presented to the jury,inconsistent with the district court’s claim construction,waived by Finesse’s failure to preserve the issue in its post-trial motions,outside the scope of the asserted ’775 claims,contradicted by Finesse’s own infringement expert,Synthesized Insight,"Because substantial-evidence review looks to what the jury heard at trial, a new appellate explanation cannot supply missing proof.","['A factual finding is supported by substantial evidence if a reasonable jury could have found in favor of the prevailing party in light of the evidence presented at trial.', 'Finesse attempts to clarify the mapping on appeal, but that evidence was never presented to the jury.']"
Foad_Farahi_v_FBI,1,0,,legal,0,,1,,7B,1,1,probes/legal/Foad_Farahi_v_FBI/inference/probes_v12_mcqa.csv,"In the court’s view, how should the Bender declaration be understood relative to the Hardy declarations?",an update to the Hardy declarations,(A),an update to the Hardy declarations,a replacement for the Hardy declarations on the question of pendency,a separate confirmation that new enforcement proceedings had commenced after the Hardy declarations,a standalone declaration establishing the pendency of enforcement proceedings from scratch,an independent supplement intended to cure defects in the initial summary-judgment motion,Synthesized Insight,"Because the court said Bender was not meant to prove pendency from scratch, it treated that declaration as a status update to earlier proof.","['""We agree with Farahi that the Bender declaration, considered in isolation, appears surprisingly terse.""', '""The government submitted the Bender declaration not to establish the pendency of enforcement proceedings from scratch, but only to confirm that nothing had changed while its initial summary-judgment motion was pending.""', '""So, the Bender declaration can reasonably be understood as an update to the Hardy declarations, not as a standalone document.""']"
Jimenez_v_Bondi,3,1,,legal,0,,0,,7B,-1,0,probes/legal/Jimenez_v_Bondi/inference/probes_v12_mcqa.csv,"From the timing of the escalated threats and the content of the accusations, what motive did the court treat as the predominant one?",Jimenez’s involvement with Don Rafa,(C),general criminal intimidation unrelated to any personal conflict with Don Rafa,Jimenez’s status as a prosecutor’s-office employee in the abstract,Jimenez’s involvement with Don Rafa,Petitioners’ political opinion,"the property dispute alone, apart from any involvement with Don Rafa",Multi-Fact Integration,"Because the escalation followed the property dispute and the threats referenced Jimenez’s prosecutor-related conduct, the court treated that involvement as the main motive.","['Petitioners do not point to any evidence in the record that suggests Don Rafa was behind those initial politically affiliated threats.', 'In fact, Petitioners only began receiving escalated threats after Jimenez got involved in a property dispute with Don Rafa, and after Don Rafa became aware that Jimenez was investigating his rented property.', 'During one of the threats, a man accused Jimenez of working for the prosecutor’s office and for being responsible for searches and seizures at Don Rafa’s property.', 'Based on these facts, the BIA did not err in finding that the predominant motive behind the threats was due to Jimenez’s professional and personal involvement with Don Rafa rather than Petitioners’ political opinion.']"
Jimenez_v_Bondi,4,1,,legal,1,,0,,7B,-1,-1,probes/legal/Jimenez_v_Bondi/inference/probes_v12_mcqa.csv,"Given the opinion’s emphasis on reporting and Petitioners’ minimal outreach to authorities, what key predicate for proving government inability or unwillingness was missing?",notice and opportunity,(B),substantial evidence,notice and opportunity,police intervention,reported wrongdoing,proof of corruption,Multi-Fact Integration,"Because Petitioners barely reported anything, the government lacked the notice and chance to respond that the opinion treats as central to the unable-or-unwilling inquiry.","['Intertwined in this analysis is an inquiry into whether the government had notice of the alleged persecution and an opportunity to respond.', '“Without such notice, there is no way to know how the police would have reacted or whether the government would have helped.”', 'Again, there is substantial evidence in the record supporting the BIA’s and IJ’s findings. Petitioners’ efforts to reach out to the government for help were minimal, if any.', 'Yet, neither of them reported wrongdoing or corruption.']"
Jimenez_v_Bondi,6,1,,legal,0,,0,,7B,-1,0,probes/legal/Jimenez_v_Bondi/inference/probes_v12_mcqa.csv,"Given that standard of review and the court's view of the record, what appellate disposition followed?",petition denied,(D),the BIA's decision vacated and remanded for further proceedings,petition granted and remanded to the BIA,petition granted,petition denied,case remanded for reconsideration of the asylum claim,Synthesized Insight,"Because the record did not compel a contrary factual conclusion and instead substantially supported the BIA, the court left the agency decision in place.","['“We review the BIA’s findings of fact under a substantial-evidence standard. Under this standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.”', 'In sum, there is substantial evidence supporting the BIA’s findings that Petitioners do not qualify for asylum.']"
Pacito_v_Trump,2,0,,legal,1,,1,,7B,1,0,probes/legal/Pacito_v_Trump/inference/probes_v12_mcqa.csv,Which stay factor points in opposite directions for the admissions issue and the APA services issue?,likelihood of success,(D),the first two factors together,public interest,balance of equities,likelihood of success,irreparable injury,Synthesized Insight,"Since the court identifies the first two factors as most critical and expressly reaches opposite conclusions on success on the merits for the two issues, that factor is the one driving the different outcomes.","['Of these factors, the first two—the showing of success on the merits and irreparable injury—are “the most critical.”', 'The government is likely to prevail on plaintiffs’ challenge to the validity of Executive Order No. 14163’s suspension of refugee admissions', 'For reasons to be explained in full in an opinion to follow, however, the government is not likely to prevail on at least one of plaintiffs’ challenges under the APA.']"
Santos_v_Kimmel,6,0,,legal,1,,1,,7B,1,0,probes/legal/Santos_v_Kimmel/inference/probes_v12_mcqa.csv,What aspect of the defendants’ alleged motive made Santos’s bad-faith argument insufficient to knock out fair use?,no supplanting purpose,(B),willful deception overriding any fair-use claim,no supplanting purpose,a primarily commercial exploitation motive,an effort to usurp Santos’s licensing market,direct market substitution for Santos’s videos,Synthesized Insight,"The complaint’s own description of defendants as engaging in criticism and commentary, rather than trying to replace Santos’s exploitation of the videos, undercuts the claim that misrepresentations defeat fair use.","['Santos also contends that Kimmel’s false representations demonstrate bad faith and thus nullify the fair use defense.', 'In any event, Santos’s complaint contradicts any claim of a purpose on the Defendants’ part to “supplant” Santos’s “commercially valuable right” in the videos.', 'To the contrary, the complaint paints a portrait of defendants motivated by (sarcastic) criticism and commentary.']"
United_States_v_Constantinescu,0,0,,legal,1,,1,,7B,1,0,probes/legal/United_States_v_Constantinescu/inference/probes_v12_mcqa.csv,"After taking the indictment’s allegations as true and finding an offense stated, what procedural step followed in the court of appeals?",reversal and remand,(E),remand for additional fact-finding,dismissal of the appeal,affirmance of the dismissal,vacatur of the indictment,reversal and remand,Multi-Fact Integration,"After taking the allegations as true and finding that they state an offense, the court logically reversed the dismissal and sent the case back.","['“[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment and REMAND for proceedings consistent with this opinion.']"
United_States_v_Jaison_Coleman,7,0,,legal,1,,1,,7B,1,0,probes/legal/United_States_v_Jaison_Coleman/inference/probes_v12_mcqa.csv,What explanation did the court give for the urgency in Kizer’s request that was still consistent with valid consent?,concern for the children’s safety,(A),concern for the children’s safety,concern for Lisa’s own safety,frustration with Lisa’s hesitation that led Kizer to press harder for entry,uncertainty about whether Coleman posed an immediate threat to the officers,the need to prevent the destruction of evidence inside the residence,Reasoning Step,The opinion explains Kizer’s urgency as stemming from safety concerns rather than an effort to pressure Lisa.,"['First, Officer Kizer’s tone and demeanor throughout was that of someone concerned, not someone coercing.', 'Officer Kizer asked for permission to enter by expressing concern for the safety of Lisa’s children and relayed that concern with some urgency and intensity, but the district court did not clearly err by finding that he did so without overstepping and coercing her consent.']"
United_States_v_Justin_Cutbank,0,1,,legal,1,,0,,7B,-1,-1,probes/legal/United_States_v_Justin_Cutbank/inference/probes_v12_mcqa.csv,"From the location of the rifle, the DNA match, and the witnesses’ identifications, what link between Cutbank and the recovered Marlin could the jury infer?",he possessed the rifle,(C),owned the recovered Marlin,carried D.F.’s cell phone away from the house,possessed the rifle,discarded the rifle along the route,used the butcher-style knife during the incident,Multi-Fact Integration,"The rifle was found along Cutbank’s likely route, bore his DNA, and matched the gun witnesses had previously seen him with, so the jury could connect him to the recovered weapon.","['Officers searching the path Cutbank likely would have taken between D.F.’s home and the garage found D.F.’s cell phone, a butcher-style knife, and a Marlin .22 caliber rifle with a sawed-off barrel and stock.', 'DNA on the gun matched Cutbank.', 'At trial, D.F. and C.F. identified the weapon as one they saw Cutbank with before that night.']"
United_States_v_Justin_Cutbank,1,0,,legal,0,,1,,7B,1,1,probes/legal/United_States_v_Justin_Cutbank/inference/probes_v12_mcqa.csv,What did the record show about the district court’s treatment of the § 3553(a) factors?,actual consideration,(B),only passing mention,actual consideration,a mechanical recitation,dispositive weight,a formulaic factor-by-factor recital,Multi-Fact Integration,"Because the court reviewed the sentencing materials and variance-related factors, the record showed the required substantive engagement even without a formulaic factor-by-factor recital.","['At sentencing, the court noted its review of the PSR and sentencing memoranda and reviewed § 3553(a) factors that could warrant a variance.', '“To uphold the sentence, we do not require a district court to provide a mechanical recitation of the factors it weighed; it simply must be clear from the record that the district court actually considered the § 3553(a) factors in determining the sentence.”']"
